0%	0
1%	0
2%	0
3%	0
4%	3
5%	3
6%	3
7%	3
8%	6
9%	6
10%	6
11%	6
12%	6
13%	9
14%	9
15%	9
16%	9
17%	9
18%	9
19%	12
20%	12
21%	12
22%	12
23%	12
24%	12
25%	15
26%	15
27%	15
28%	15
29%	15
30%	18
31%	18
32%	18
33%	18
34%	18
35%	18
36%	21
37%	21
38%	21
39%	21
40%	21
41%	24
42%	24
43%	24
44%	24
45%	27
46%	27
47%	27
48%	27
49%	30
50%	30
51%	30
52%	30
53%	33
54%	33
55%	33
56%	33
57%	36
58%	36
59%	36
60%	39
61%	39
62%	41
63%	42
64%	42
65%	45
66%	45
67%	48
68%	48
69%	51
70%	51
71%	54
72%	54
73%	57
74%	60
75%	60
76%	60
77%	62
78%	66
79%	69
80%	72
81%	75
82%	79
83%	81
84%	87
85%	90
86%	96
87%	99
88%	99
89%	99
90%	99
91%	99
92%	99
93%	99
94%	99
95%	99
96%	99
97%	99
98%	99
99%	99
100%	99
